"","x"
"1","andreyev-mysl"
"2","andreyev-ne-ubiy"
"3","babel-marija"
"4","babel-zakat"
"5","blok-balaganchik"
"6","blok-korol-na-ploschadi"
"7","blok-neznakomka"
"8","bulgakov-beg"
"9","bulgakov-dni-turbinyh"
"10","bulgakov-ivan-vasilevich"
"11","bulgakov-kabala-svjatosh"
"12","bulgakov-poloumnyj-zhurden"
"13","bulgakov-poslednie-dni"
"14","chekhov-chaika"
"15","chekhov-djadja-vanja"
"16","chekhov-ivanov"
"17","chekhov-jubilej"
"18","chekhov-leshii"
"19","chekhov-medved"
"20","chekhov-na-bolshoi-doroge"
"21","chekhov-noch-pered-sudom"
"22","chekhov-predlozhenie"
"23","chekhov-svadba"
"24","chekhov-tatjana-repina"
"25","chekhov-tragik-ponevole"
"26","chekhov-tri-sestry"
"27","chekhov-vishnevyi-sad"
"28","dashkova-toisiokov"
"29","fonvizin-brigadir"
"30","fonvizin-korion"
"31","fonvizin-nedorosl"
"32","fonvizin-vybor-guvernera"
"33","glinka-velzen"
"34","gogol-igroki"
"35","gogol-lakeiskaja"
"36","gogol-otryvok"
"37","gogol-revizor"
"38","gogol-teatralnyi-razezd"
"39","gogol-tjazhba"
"40","gogol-utro-delovogo-cheloveka"
"41","gogol-zhenitba"
"42","gorky-egor-bulychov-i-drugie"
"43","gorky-na-dne"
"44","griboyedov-gore-ot-uma"
"45","gumilyov-akteon"
"46","gumilyov-ditja-allaha"
"47","gumilyov-don-zhuan-v-egipte"
"48","gumilyov-gondla"
"49","kapnist-antigona"
"50","kapnist-yabeda"
"51","kedrin-rembrandt"
"52","kheraskov-osvobozhdennaja-moskva"
"53","kheraskov-venecianskaya-monahinya"
"54","khlebnikov-snezhimochka"
"55","khmelnitsky-govorun"
"56","khmelnitsky-svetskiy-sluchay"
"57","khmelnitsky-vozdushnye-zamki"
"58","khmelnitsky-vzaimnye-ispytaniya"
"59","knyazhnin-chudaki"
"60","knyazhnin-didona"
"61","knyazhnin-hvastun"
"62","knyazhnin-olga"
"63","knyazhnin-vadim-novgorodskij"
"64","kropotov-fomushka"
"65","krylov-amerikantsy"
"66","krylov-filomela"
"67","krylov-modnaja-lavka"
"68","krylov-pirog"
"69","krylov-podschipa-ili-trumf"
"70","krylov-prokazniki"
"71","krylov-sonnyj-poroshok"
"72","krylov-urok-dochkam"
"73","lazhechnikov-okopirovalsya"
"74","lensky-horosha-i-durna"
"75","lermontov-maskarad"
"76","lermontov-strannyj-chelovek"
"77","lomonosov-demofont"
"78","lomonosov-tamira-i-selim"
"79","majkov-agriopa"
"80","majkov-femist-i-ieronima"
"81","mayakovsky-banja"
"82","mayakovsky-klop"
"83","mayakovsky-misteriya-buff"
"84","naydyonov-deti-vanjushina"
"85","nekrasov-zabrakovannye"
"86","nikolev-samolyubivyj-stihotvorec"
"87","ostrovsky-bednaja-nevesta"
"88","ostrovsky-bednost-ne-porok"
"89","ostrovsky-bespridannitsa"
"90","ostrovsky-groza"
"91","ostrovsky-les"
"92","ostrovsky-na-bojkom-meste"
"93","ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty"
"94","ostrovsky-puchina"
"95","ostrovsky-snegurochka"
"96","ostrovsky-svoi-ljudi"
"97","ostrovsky-volki-i-ovtsy"
"98","ozerov-dmitrij-donskoj"
"99","pisarev-lukavin"
"100","pisemskij-gorkaja-sudbina"
"101","plavilshchikov-ermak-pokoritel-sibiri"
"102","plavilshchikov-sgovor-kutejkina"
"103","prutkov-blondy"
"104","prutkov-chereposlov-sirech-frenolog"
"105","prutkov-fantaziya"
"106","prutkov-oprometchivyj-turka"
"107","prutkov-spor-drevnih-grecheskih-filosofov"
"108","prutkov-srodstvo-mirovyh-sil"
"109","pushkin-boris-godunov"
"110","pushkin-kamenniy-gost"
"111","pushkin-mocart-i-saleri"
"112","pushkin-pir-vo-vremja-chumy"
"113","pushkin-rusalka"
"114","pushkin-skupoj-rytsar"
"115","pushkin-stseny-iz-rytsarskih-vremen"
"116","rostopchina-neludimka"
"117","saltykov-shchedrin-smert-pazuhina"
"118","shakhovskoy-ne-lubo-ne-slushai"
"119","shakhovskoy-pustodomy"
"120","shakhovskoy-svoya-semya"
"121","shakhovskoy-urok-koketkam"
"122","sukhovo-kobylin-delo"
"123","sukhovo-kobylin-smert-tarelkina"
"124","sukhovo-kobylin-svadba-krechinskogo"
"125","sumarokov-artistona"
"126","sumarokov-dimitrij-samozvanets"
"127","sumarokov-horev"
"128","sumarokov-semira"
"129","sumarokov-sinav-i-truvor"
"130","tolstoy-smert-ioanna-groznogo"
"131","tolstoy-tsar-boris"
"132","tolstoy-tsar-fedor-ioannovich"
"133","tolstoy-vlast-tmy"
"134","tolstoy-zhivoy-trup"
"135","tretyakov-protivogazy"
"136","turgenev-gde-tonko-tam-i-rvetsja"
"137","turgenev-holostjak"
"138","turgenev-mesjats-v-derevne"
"139","turgenev-nahlebnik"
"140","turgenev-neostorozhnost"
"141","turgenev-provintsialka"
"142","turgenev-razgovor-na-bolshoj-doroge"
"143","turgenev-vecher-v-sorrente"
"144","turgenev-zavtrak-u-predvoditelja"
